Id,Project,Reporter,Assigned To,Priority,Severity,Reproducibility,Product Version,Category,Date Submitted,OS,OS Version,Platform,View Status,Updated,Summary,Status,Resolution,Fixed in Version
0005375,Scribus,user715,,normal,feature,always,1.3.3.7,User Interface,2007-02-21,all,,all,public,2016-05-24,displaying selected page - centred on workspace,new,open,
0012811,Scribus,JLuc,,normal,minor,have not tried,1.5.0svn,User Interface,2014-11-14,Ubuntu,14.04,Linux,public,2016-05-24,"""Changed"" indicator confused with inline text editing",new,open,
0003188,Scribus,jo-hannes,,normal,minor,always,1.3.3cvs,Text Frames / Story Editor,2006-02-07,,,,public,2016-05-24,Locked Text Frames: not possible to to cut text with the context menu out,confirmed,open,
0013611,Scribus,wgregori,,normal,minor,always,1.4.5,Import / Export,2015-12-21,Ubuntu ,14.04,Linux,public,2016-05-24,When importing a eps vector graphic (calendar) the calendar grid does not import properly,confirmed,open,
0003610,Scribus,mkoren,,normal,tweak,always,1.3.3.1,Usability,2006-04-09,Debian Linux,Stable/Testing,x86,public,2016-05-24,lock icon in properties misleading for mismatched objects,confirmed,open,
0005089,Scribus,jo-hannes,,normal,minor,always,1.3.4cvs,Text Frames / Story Editor,2007-01-05,,,,public,2016-05-24,issue with jumping between lines and moving cursor,confirmed,open,
0003347,Scribus,Shun_Di,,normal,feature,always,1.3.3cvs,General,2006-03-07,Linux (SUSE),10.0 OSS,KDE 3.5.x,public,2016-05-24,Ruler just keeps on growing over the pages,confirmed,open,
0014071,Scribus,Kunda,,normal,tweak,always,1.5.3.svn,Graphics / Image Frames,2016-05-17,Yosemite,10.10.5,MacOSX,public,2016-05-23,Image properties on canvas (seen when disabling 'Image Visible') should fit within the object borders,confirmed,open,
0013520,Scribus,ale,,normal,minor,always,1.5.1svn,Undo/Redo,2015-11-10,,,,public,2016-05-23,pasting text does not get correctly undone,new,open,
0013543,Scribus,Kunda,,normal,minor,always,1.5.1svn,Undo/Redo,2015-11-18,Yosemite,10.10.5,MacOSX,public,2016-05-23,pasting text does not get correctly undone (duplicate of #13520 ?),new,open,
0011605,Scribus,chappa-ai,,normal,major,always,1.4.2,Shape Drawing,2013-06-18,OS X,10.6.8,Mac,public,2016-05-23,Shape Vertices Coordinates Error,new,open,
0012330,Scribus,JLuc,,normal,minor,have not tried,,Shape Drawing,2014-05-27,,,,public,2016-05-23,"Bad selection X,Y for thick lines",new,open,
0010002,Scribus,alexandre,,normal,feature,have not tried,,General,2011-05-25,,,,public,2016-05-23,please add quad/quadrat unit,new,open,
0006436,Scribus,louisdesjardins,,normal,tweak,always,,General,2007-10-29,,,,public,2016-05-23,"Add ""Agate Lines"" to the vertical units",acknowledged,open,
0010275,Scribus,pygmee,,normal,minor,always,1.5.0svn,Usability,2011-09-20,Debian,Lenny,Linux,public,2016-05-23,Display Edit color window when using dropper tool,new,open,
0010675,Scribus,ale,,normal,minor,N/A,1.5.0svn,Canvas,2012-04-13,,,,public,2016-05-23,unselected empty frames may not be visible,new,open,
0010666,Scribus,pygmee,,normal,feature,N/A,,User Interface,2012-04-09,,,,public,2016-05-23,Display  shape options as Shape options :),new,open,
0010934,Scribus,ale,,normal,feature,N/A,1.5.0svn,General,2012-07-25,,,,public,2016-05-23,Add an option to activate by default the snapping to guides,assigned,open,
0003503,Scribus,cbradney,,normal,tweak,always,1.3.4cvs,Import / Export,2006-03-24,,,,public,2016-05-23,FileWatcher removes item preview if file save in another app takes too long,confirmed,open,
0009043,Scribus,owencook,,normal,minor,always,1.3.7svn,General,2010-04-22,Linux,Ubuntu-9.04+,,public,2016-05-22,"Edit->""Advanced Select All"" does not function correctly on ""Current page""",confirmed,open,
0009453,Scribus,neoarttec,,normal,feature,have not tried,1.5.0svn,Plug-ins,2010-10-30,openSuse,11.3,Intel 32 Bit,public,2016-05-22,"Image Browser - Folder, Document Collection Browser",new,open,
0009297,Scribus,ale,,normal,feature,have not tried,1.5.0svn,User Interface,2010-07-26,,,,public,2016-05-22,button for resetting the palettes' placement,new,open,
0009102,Scribus,alexandre,,normal,feature,have not tried,,Usability,2010-05-11,,,,public,2016-05-22,Snapping to anything before starting to draw an object,new,open,
0004379,Scribus,christoph_s,cbradney,normal,feature,always,1.3.4cvs,Download Manager,2006-10-08,any,any,any,public,2016-05-21,Basic pattern sets for inclusion in Scribus,assigned,open,
0011182,Scribus,christoph_s,,normal,minor,always,1.4.2.svn,Language Tools,2012-11-21,Linux,OpenSUSE 12.1,x86_64,public,2016-05-21,[Multi-threading] Launching the new spellchecker takes extremely long,confirmed,fixed,
0011990,Scribus,JLuc,,normal,feature,have not tried,1.5.0svn,Text Frames / Story Editor,2014-01-17,,,,public,2016-05-21,"""Edit in place"" button in the spellchecker",new,open,
0010521,Scribus,mielot,,normal,major,have not tried,1.4.0,Canvas,2012-01-17,Ubuntu,11.10,Linux,public,2016-05-21,Making changes in properties window makes canvas randomly jump,new,open,
0012823,Scribus,JLuc,,normal,minor,have not tried,1.5.0svn,Usability,2014-11-19,,,,public,2016-05-21,Hyphen dialog usability,new,open,
0000185,Scribus,cbradney,,low,feature,always,1.3.4cvs,General,2004-01-20,all,all,all,public,2016-05-21,Allow frames on master pages to have content when applied to normal pages.,acknowledged,open,
0010021,Scribus,cezaryece,,normal,minor,have not tried,,Text Frames / Story Editor,2011-06-03,,,,public,2016-05-21,[REQUEST] indicating of number of suspressed spaces,new,open,
0007202,Scribus,parejkoj,,normal,feature,N/A,,Import / Export,2008-08-08,,,,public,2016-05-21,Lossless exporting of eps files in vector format,new,open,
0001179,Scribus,ringerc,,high,feature,always,1.3.4cvs,Import / Export,2004-10-03,all,all,x86 Linux,public,2016-05-21,"When saving PS or EPS, convert placed PDFs to PS/EPS and embed in the output",acknowledged,open,
0011189,Scribus,pygmee,,normal,feature,always,1.5.0,Fonts,2012-11-22,Ubuntu,12.04,x86,public,2016-05-21,Font preview enhancement (apply to selection + add to a font set),new,open,
0004662,Scribus,christoph_s,,normal,minor,always,1.3.4cvs,General,2006-11-30,Linux,SuSE 10.1,x86,public,2016-05-20,Switching basic document layout leaves master pages intact (AKA updating single to double or vice-versa doesn't +/- masterpage),confirmed,open,
0010023,Scribus,SK_,,normal,minor,always,1.4.0svn,Usability,2011-06-03,,,,public,2016-05-20,automatic guides relative to margins didn't alter on left and right pages,new,open,
0010317,Scribus,JLuc,,normal,minor,have not tried,1.4.0svn,User Interface,2011-10-13,,,,public,2016-05-20,Points (or Shape) window  : x  y fieldset,new,open,
0014078,Scribus,Andreas_Mueller,,normal,feature,have not tried,1.5.3.svn,Usability,2016-05-18,,,,public,2016-05-20,Templating for text frames,new,open,
0010169,Scribus,Vladimir Savic,Chelen,normal,feature,always,1.4.0svn,Usability,2011-08-10,Ubuntu,11.04,linux,public,2016-05-20,Snap guidelines to closest point under mouse,assigned,open,
0012414,Scribus,Kunda,,high,major,always,1.5.0svn,OS-MacOSX,2014-06-18,OSX,10.8.5,Mac,public,2016-05-19,Qt Touchpad event: OSX two finger tap on mouse trackpad triggers a scroll event along with right click menu,confirmed,open,
0010845,Scribus,ale,,normal,feature,have not tried,1.5.0svn,General,2012-07-05,,,,public,2016-05-19,Align and distribute should also allow to align nodes in a path,new,open,
0010860,Scribus,Foske,,normal,minor,always,1.5.0svn,User Interface,2012-07-09,,,,public,2016-05-19,Bleed margins displayed incorrectly for folded pages,new,open,
